Index,Company,Product,TypeName,Inches,OpSys,Price_euros,SSD_Memory_GB,HDD_Memory_GB,Weight_kg,Ram_GB,ScreenResolution_px,Cpu_Type,Cpu_Frequency_GHz,Gpu_Type
33,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Windows 10,439.0,0,500,2.71,4,1920x1080,AMD A6-Series,2.5,AMD Radeon
34,Dell,XPS 13,Ultrabook,13.3,Windows 10,1869.0,512,0,1.2,16,3200x1800,Intel Core,1.8,Intel UHD
37,Acer,Aspire 3,Notebook,15.6,Linux,367.0,0,1024.0,2.1,4,1366x768,Intel Core,2.7,Intel HD
38,Dell,Inspiron 5770,Notebook,17.3,Windows 10,979.0,128,1024.0,2.8,8,1920x1080,Intel Core,1.6,AMD Radeon
39,HP,250 G6,Notebook,15.6,Windows 10,488.69,0,1024.0,1.86,4,1366x768,Intel Core,2.5,Intel HD
40,HP,ProBook 450,Notebook,15.6,Windows 10,879.0,256,0,2.1,8,1920x1080,Intel Core,1.6,Nvidia GeForce
41,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Linux,389.0,0,1024.0,2,4,1920x1080,Intel Core,2,Intel HD
42,Dell,Inspiron 7577,Gaming,15.6,Windows 10,1499.0,256,1024.0,2.65,16,1920x1080,Intel Core,2.8,Nvidia GeForce
43,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,Linux,522.99,0,1024.0,2.3,8,1366x768,Intel Core,2.5,Nvidia GeForce
44,Acer,Aspire A515-51G,Notebook,15.6,Windows 10,682.0,256,0,2.2,4,1920x1080,Intel Core,1.6,Intel UHD
45,Dell,Inspiron 7773,2 in 1 Convertible,17.3,Windows 10,999.0,0,1024.0,2.77,12,1920x1080,Intel Core,1.6,Nvidia GeForce
46,Apple,MacBook Pro,Ultrabook,13.3,macOS,1419.0,256,0,1.37,8,2560x1600,Intel Core,2.0,Intel Iris
47,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,No OS,369.0,128,0,2.2,4,1366x768,Intel Core,2,Intel HD
48,Asus,Rog Strix,Gaming,17.3,Windows 10,1299.0,256,1024.0,3.2,8,1920x1080,AMD Ryzen,3,AMD Radeon
49,Dell,Inspiron 3567,Notebook,15.6,Windows 10,639.0,256,0,2.3,4,1920x1080,Intel Core,2.5,AMD Radeon
50,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,Windows 10,466.0,0,1024.0,2.8,4,1366x768,Intel Pentium,1.1,Nvidia GeForce
52,Acer,Aspire A515-51G,Notebook,15.6,Windows 10,841.0,256,0,2.2,8,1920x1080,Intel Core,1.8,Nvidia GeForce
53,HP,255 G6,Notebook,15.6,Windows 10,398.49,256,0,1.86,4,1920x1080,AMD A6-Series,2.5,AMD Radeon
54,HP,ProBook 430,Notebook,13.3,Windows 10,1103.0,512,0,1.49,8,1920x1080,Intel Core,1.8,Intel UHD
55,Acer,Aspire 3,Notebook,15.6,Windows 10,384.0,0,1024.0,2.4,4,1366x768,Intel Core,2.4,Intel HD
56,Dell,Inspiron 3576,Notebook,15.6,Windows 10,767.8,256,0,2.13,8,1920x1080,Intel Core,1.8,AMD Radeon
57,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Windows 10,439.0,128,0,1.91,4,1920x1080,Intel Core,2,Intel HD
58,Asus,VivoBook Max,Notebook,15.6,Windows 10,586.19,256,0,2,4,1366x768,Intel Core,2.5,Intel HD
59,MSI,GS73VR 7RG,Gaming,17.3,Windows 10,2449.0,256,2048.0,2.43,16,1920x1080,Intel Core,2.8,Nvidia GeForce
60,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Linux,415.0,256,0,2,4,1920x1080,Intel Core,2,Intel HD
61,Dell,Inspiron 5770,Notebook,17.3,Windows 10,1299.0,256,2048.0,2.8,16,1920x1080,Intel Core,1.8,AMD Radeon
62,Dell,Vostro 5471,Ultrabook,14.0,Windows 10,879.0,256,0,1.7,8,1920x1080,Intel Core,1.6,Intel UHD
63,Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,No OS,599.0,256,0,1.7,8,1920x1080,Intel Core,2.7,Intel HD
64,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Windows 10,941.0,256,0,1.4,8,1920x1080,Intel Core,1.6,Intel UHD
66,HP,250 G6,Notebook,15.6,Windows 10,690.0,256,0,1.86,8,1920x1080,Intel Core,2.5,Intel HD
67,Asus,ZenBook Pro,Ultrabook,15.6,Windows 10,1983.0,512,0,1.8,16,1920x1080,Intel Core,2.8,Nvidia GeForce
68,HP,250 G6,Notebook,15.6,Windows 10,438.69,0,500,1.86,4,1366x768,Intel Core,2,AMD Radeon
69,HP,Stream 14-AX040wm,Notebook,14.0,Windows 10,229.0,32,0,1.44,4,1366x768,Intel Celeron,1.6,Intel HD
70,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,549.0,0,1024.0,1.9,4,1920x1080,Intel Core,2.5,Intel HD
71,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Linux,949.0,0,1024.0,3,12,1920x1080,Intel Core,2.8,Nvidia GeForce
72,Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1089.0,128,0,1.252,4,2256x1504,Intel Core,2.5,Intel HD
73,Dell,Inspiron 5370,Ultrabook,13.3,Windows 10,955.0,256,0,1.4,8,1920x1080,Intel Core,1.8,AMD Radeon
74,Dell,Inspiron 5570,Notebook,15.6,Windows 10,870.0,256,0,2.2,8,1920x1080,Intel Core,1.8,AMD Radeon
75,MSI,GL72M 7RDX,Gaming,17.3,Windows 10,1095.0,128,1024.0,2.7,8,1920x1080,Intel Core,2.5,Nvidia GeForce
76,Acer,Aspire E5-475,Notebook,14.0,Windows 10,389.0,0,1024.0,2.1,8,1366x768,Intel Core,2,Intel HD
77,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Windows 10,949.0,0,1024.0,2.2,8,1920x1080,Intel Core,2.8,Nvidia GeForce
78,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,519.0,0,2048.0,2.2,8,1920x1080,Intel Core,2.5,Intel HD
79,Dell,Inspiron 5570,Notebook,15.6,Windows 10,855.0,128,1024.0,2.02,8,1920x1080,Intel Core,1.8,Intel UHD
80,Acer,Aspire A515-51G-32MX,Notebook,15.6,Windows 10,530.0,0,1024.0,2.2,4,1920x1080,Intel Core,2.7,Nvidia GeForce
81,HP,ProBook 470,Notebook,17.3,Windows 10,977.0,128,1024.0,2.5,8,1920x1080,Intel Core,1.6,Nvidia GeForce
82,Dell,Latitude 5590,Ultrabook,15.6,Windows 10,1096.16,256,0,1.88,8,1920x1080,Intel Core,1.6,Intel UHD
83,Apple,"MacBook 12""",Ultrabook,12.0,macOS,1510.0,512,0,0.92,8,2304x1440,Intel Core,1.3,Intel HD
84,HP,ProBook 440,Notebook,14.0,Windows 10,860.0,256,0,1.63,8,1920x1080,Intel Core,1.6,Intel HD
85,Lenovo,IdeaPad 320-15AST,Notebook,15.6,Windows 10,399.0,128,0,2.2,4,1920x1080,AMD A6-Series,2.5,AMD R4
86,Acer,Aspire 3,Notebook,15.6,Windows 10,395.0,0,1024.0,2.1,4,1366x768,AMD A9-Series,3,AMD Radeon
87,Dell,Inspiron 7577,Gaming,15.6,Windows 10,1349.0,128,1024.0,2.65,16,1920x1080,Intel Core,2.8,Nvidia GeForce
88,HP,Pavilion 15-CK000nv,Ultrabook,15.6,Windows 10,699.0,256,0,1.83,8,1920x1080,Intel Core,1.8,Nvidia GeForce
89,HP,250 G6,Notebook,15.6,Windows 10,598.99,256,0,1.96,8,1920x1080,Intel Core,2.5,Intel HD
90,Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,Windows 10,1449.0,128,1024.0,2.2,16,1920x1080,Intel Core,2.8,Nvidia GeForce
91,Dell,XPS 13,Ultrabook,13.3,Windows 10,1649.0,256,0,1.21,8,1920x1080,Intel Core,1.8,Intel UHD
92,Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Windows 10,699.0,0,1024.0,2.45,8,1920x1080,AMD FX,3,AMD Radeon
93,Acer,Aspire 5,Notebook,15.6,Windows 10,689.0,0,1024.0,2.2,8,1920x1080,Intel Core,1.8,Nvidia GeForce
94,HP,Probook 430,Notebook,13.3,Windows 10,1197.0,512,0,1.49,16,1920x1080,Intel Core,1.8,Intel UHD
95,Dell,Inspiron 7577,Gaming,15.6,Windows 10,1195.0,256,0,2.65,8,1920x1080,Intel Core,2.5,Nvidia GeForce
96,Asus,Zenbook UX430UA,Ultrabook,14.0,Windows 10,1049.0,256,0,1.25,8,1920x1080,Intel Core,2.7,Intel HD
97,Acer,Spin 5,2 in 1 Convertible,13.3,Windows 10,847.0,256,0,1.5,8,1920x1080,Intel Core,1.6,Intel UHD
98,Dell,Inspiron 3567,Notebook,15.6,Linux,599.9,0,1024.0,2.2,8,1920x1080,Intel Core,2.7,AMD Radeon
99,Dell,Inspiron 3567,Notebook,15.6,Linux,485.0,256,0,2.2,4,1920x1080,Intel Core,2,AMD Radeon
100,Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Windows 10,577.0,256,0,2,6,1920x1080,Intel Core,2.4,Nvidia GeForce
102,HP,Omen 15-ce007nv,Gaming,15.6,Windows 10,1249.0,128,1024.0,2.62,12,1920x1080,Intel Core,2.8,Nvidia GeForce
103,HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Windows 10,719.0,256,0,1.91,8,1920x1080,Intel Core,2.7,AMD Radeon
104,HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Windows 10,349.0,0,500,2.1,4,1920x1080,AMD E-Series,1.5,AMD Radeon
105,Dell,Inspiron 3576,Notebook,15.6,Linux,647.0,0,1024.0,2.2,8,1920x1080,Intel Core,1.6,AMD Radeon
106,HP,Envy 13-ad009n,Ultrabook,13.3,Windows 10,1119.0,256,0,1.38,8,1920x1080,Intel Core,2.7,Nvidia GeForce
107,Microsoft,Surface Laptop,Ultrabook,13.5,Windows 10 S,1340.0,256,0,1.252,8,2256x1504,Intel Core,2.5,Intel HD
108,HP,Pavilion 14-BK001nv,Notebook,14.0,Windows 10,659.0,256,0,1.58,6,1920x1080,Intel Core,2.5,Nvidia GeForce
109,Lenovo,Ideapad 310-15ISK,Notebook,15.6,Windows 10,414.9,0,1024.0,1.85,4,1920x1080,Intel Core,2,Intel HD
110,Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,Windows 10,1193.0,256,0,1.3,8,1920x1080,Intel Core,2.7,Nvidia GeForce
111,MSI,GP62M 7REX,Gaming,15.6,Windows 10,1299.0,256,1024.0,2.2,16,1920x1080,Intel Core,2.8,Nvidia GeForce
112,Lenovo,Thinkpad T470,Notebook,14.0,Windows 10,1480.0,256,0,1.58,8,1920x1080,Intel Core,2.7,Intel HD
113,Asus,VivoBook S15,Ultrabook,15.6,Windows 10,1262.0,256,1024.0,1.5,16,1920x1080,Intel Core,1.8,Nvidia GeForce
114,Dell,XPS 13,Ultrabook,13.3,Windows 10,1379.0,256,0,1.23,8,3200x1800,Intel Core,2.4,Intel Iris
115,Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,Windows 10,1399.0,256,0,1.37,8,1920x1080,Intel Core,2.5,Intel HD
116,HP,Probook 440,Notebook,14.0,Windows 10,722.0,0,500,1.63,4,1366x768,Intel Core,1.6,Intel UHD
117,Dell,XPS 13,Ultrabook,13.3,Windows 10,1629.0,256,0,1.21,8,1920x1080,Intel Core,1.6,Intel UHD
118,HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,1398.99,256,0,1.26,8,1920x1080,Intel Core,1.6,Intel UHD
119,HP,Probook 440,Notebook,14.0,Windows 10,1084.0,512,0,1.63,8,1920x1080,Intel Core,1.8,Intel UHD
120,Dell,Inspiron 7570,Notebook,15.6,Windows 10,1130.33,256,1024.0,2.16,8,1920x1080,Intel Core,1.8,Nvidia GeForce
121,Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Windows 10,564.0,0,1024.0,2,4,1920x1080,Intel Core,2,Nvidia GeForce
122,Asus,VivoBook S15,Notebook,15.6,Windows 10,1118.0,256,0,1.7,8,1920x1080,Intel Core,1.8,Nvidia GeForce
123,Acer,Spin 3,Notebook,15.6,Windows 10,479.0,0,1024.0,2.1,6,1920x1080,Intel Core,2.4,Intel HD
124,MSI,GS63VR 7RG,Gaming,15.6,Windows 10,2241.5,256,2048.0,1.8,16,1920x1080,Intel Core,2.8,Nvidia GeForce
125,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,629.0,256,0,2.2,8,1920x1080,Intel Core,2.5,Nvidia GeForce
126,HP,Probook 470,Notebook,17.3,Windows 10,1271.0,512,0,2.5,16,1920x1080,Intel Core,1.8,Nvidia GeForce
127,Acer,Aspire 3,Notebook,15.6,Windows 10,451.0,256,0,2.1,4,1366x768,AMD A9-Series,3,AMD Radeon
128,HP,250 G6,Notebook,15.6,No OS,259.0,0,500,1.86,4,1366x768,Intel Celeron,1.6,Intel HD
129,HP,Probook 440,Notebook,14.0,Windows 10,812.0,0,1024.0,1.63,8,1920x1080,Intel Core,1.6,Intel UHD
130,Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,Windows 10 S,277.99,64,0,1.65,4,1366x768,AMD E-Series,1.5,AMD Radeon
131,Dell,Inspiron 5770,Notebook,17.3,Windows 10,1396.0,256,2048.0,2.8,16,1920x1080,Intel Core,1.8,AMD Radeon
132,HP,ProBook 470,Notebook,17.3,Windows 10,928.0,256,0,2.5,8,1920x1080,Intel Core,1.6,Intel UHD
133,Dell,Inspiron 5567,Notebook,15.6,Windows 10,638.99,0,1024.0,2.36,8,1366x768,Intel Core,2.5,AMD Radeon
134,Dell,Inspiron 3567,Notebook,15.6,Windows 10,449.0,0,1024.0,2.2,4,1920x1080,Intel Core,2,AMD Radeon
135,Acer,Swift 3,Ultrabook,14.0,Windows 10,884.0,256,0,1.6,8,1920x1080,Intel Core,1.8,Intel UHD
136,Acer,Aspire A515-51G-37JS,Notebook,15.6,Windows 10,572.0,256,0,2.2,4,1920x1080,Intel Core,2.7,Nvidia GeForce
137,HP,15-BS078nr (i7-7500U/8GB/1TB/W10),Notebook,15.6,Windows 10,598.0,0,1024.0,2.05,8,1366x768,Intel Core,2.7,Intel HD
138,HP,Probook 440,Notebook,14.0,Windows 10,988.0,256,0,1.63,8,1920x1080,Intel Core,1.8,Intel UHD
139,Lenovo,V110-15IAP (N3350/4GB/1TB/No,Notebook,15.6,No OS,252.36,0,1024.0,1.9,4,1366x768,Intel Celeron,1.1,Intel HD
140,Asus,FX753VD-GC086T (i5-7300HQ/8GB/1TB,Gaming,17.3,Windows 10,938.0,128,1024.0,3,8,1920x1080,Intel Core,2.5,Nvidia GeForce
141,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,No OS,499.0,0,1024.0,2.2,4,1920x1080,Intel Core,2.5,Nvidia GeForce
142,HP,Envy 13-AD007nv,Notebook,13.3,Windows 10,699.0,256,0,1.32,4,1920x1080,Intel Core,2.5,Intel HD
143,Acer,Aspire 5,Notebook,17.3,Windows 10,655.0,0,1024.0,3,4,1920x1080,Intel Core,2.7,Nvidia GeForce
144,Lenovo,ThinkPad E480,Notebook,14.0,Windows 10,1116.02,256,0,1.75,8,1920x1080,Intel Core,1.6,AMD Radeon
145,Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,869.0,256,0,2.4,8,1920x1080,Intel Core,2.8,Nvidia GeForce
146,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,602.0,0,500,2.1,4,1366x768,Intel Core,2.3,Intel HD
147,HP,255 G6,Notebook,15.6,Windows 10,369.0,256,0,1.86,4,1366x768,AMD A6-Series,2.5,AMD Radeon
148,Asus,ZenBook UX430UA,Ultrabook,14.0,Windows 10,1099.0,256,0,1.25,8,1920x1080,Intel Core,1.8,Intel UHD
149,HP,EliteBook Folio,Ultrabook,12.5,Windows 10,2014.0,512,0,0.97,8,3840x2160,Intel Core,1.2,Intel HD
150,Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,Windows 10,344.0,0,1024.0,2,4,1920x1080,Intel Celeron,1.1,Intel HD
151,MSI,GE72MVR 7RG,Gaming,17.3,Windows 10,2029.0,256,1024.0,2.9,16,1920x1080,Intel Core,2.8,Nvidia GeForce
152,Acer,Aspire A315-51,Notebook,15.6,Windows 10,447.0,0,1024.0,2.1,4,1366x768,Intel Core,2,Intel HD
153,Dell,Inspiron 5577,Gaming,15.6,Windows 10,1249.26,512,0,2.56,16,1920x1080,Intel Core,2.8,Nvidia GeForce
154,Dell,Inspiron 7567,Gaming,15.6,Windows 10,899.0,0,0,2.62,8,1920x1080,Intel Core,2.8,Nvidia GeForce
155,Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,Windows 10,498.0,128,0,1.9,4,1366x768,Intel Core,2.5,Intel HD
156,MSI,GE73VR 7RE,Gaming,17.3,Windows 10,1890.0,256,1024.0,2.8,16,1920x1080,Intel Core,2.8,Nvidia GeForce
157,HP,EliteBook 840,Ultrabook,14.0,Windows 10,1082.0,256,0,1.48,4,1920x1080,Intel Core,2.7,Intel HD
158,HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,Windows 10,619.0,256,0,1.91,6,1920x1080,Intel Core,1.6,AMD Radeon
159,Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,Windows 10,629.0,256,0,1.74,4,1920x1080,Intel Core,2.4,Intel HD
160,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Windows 10,1315.0,256,0,1.1,8,1920x1080,Intel Core,1.6,Intel HD
161,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Windows 10,1049.0,256,0,1.56,8,1920x1080,Intel Core,1.8,Intel UHD
163,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,447.0,0,500,2.1,4,1366x768,Intel Core,2.2,Intel HD
164,Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,Windows 10,403.0,0,1024.0,2.03,4,1366x768,AMD A9-Series,3,AMD Radeon
165,Acer,Aspire A517-51G,Notebook,17.3,Windows 10,805.0,256,0,3,4,1920x1080,Intel Core,1.6,Nvidia GeForce
166,Dell,Inspiron 3576,Notebook,15.6,Windows 10,728.0,256,0,2.13,8,1920x1080,Intel Core,1.6,AMD Radeon
167,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Windows 10,1079.0,256,0,2.5,16,1920x1080,Intel Core,2.8,Nvidia GeForce
168,Acer,Aspire A315-31,Notebook,15.6,Windows 10,348.0,0,1024.0,2.1,4,1366x768,Intel Celeron,1.1,Intel HD
169,MSI,GE63VR 7RE,Gaming,15.6,Windows 10,1799.0,256,1024.0,2.4,16,1920x1080,Intel Core,2.8,Nvidia GeForce
170,Acer,Aspire 3,Notebook,15.6,Windows 10,363.51,0,1024.0,2.1,4,1366x768,Intel Pentium,1.1,Intel HD
171,Dell,Inspiron 5577,Gaming,15.6,Windows 10,1060.49,128,1024.0,2.56,8,1920x1080,Intel Core,2.8,Nvidia GeForce
172,Acer,Aspire A517-51G,Notebook,17.3,Windows 10,854.0,256,0,3,8,1920x1080,Intel Core,1.6,Nvidia GeForce
173,HP,ProBook 430,Notebook,13.3,Windows 10,754.0,0,500,1.49,4,1920x1080,Intel Core,1.6,Intel UHD
174,Huawei,MateBook X,Ultrabook,13.0,Windows 10,1349.0,256,0,1.05,8,2160x1440,Intel Core,2.5,Intel HD
175,HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,Windows 10,699.0,0,2048.0,2.71,6,1920x1080,Intel Core,2.5,AMD Radeon
176,Lenovo,IdeaPad 320-15AST,Notebook,15.6,No OS,309.0,0,500,2.2,4,1366x768,AMD A6-Series,2.9,AMD Radeon
177,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,489.0,0,500,2,4,1366x768,Intel Core,2.4,Intel HD
178,HP,ProBook 470,Notebook,17.3,Windows 10,923.0,256,0,2.5,8,1920x1080,Intel Core,1.6,Nvidia GeForce
179,Dell,Inspiron 3567,Notebook,15.6,Windows 10,459.0,0,1024.0,2.3,8,1366x768,Intel Core,2.4,Intel HD
180,Acer,Aspire A315-51,Notebook,15.6,Windows 10,449.0,128,0,2.1,4,1366x768,Intel Core,2,Intel HD
181,MSI,GT80S 6QF-074US,Gaming,18.4,Windows 10,2799.0,512,1024.0,4.4,32,1920x1080,Intel Core,2.9,Nvidia GTX
182,Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,Windows 10,813.0,128,1024.0,1.90,8,1920x1080,Intel Core,2.5,AMD R17M-M1-70
183,HP,Spectre x360,2 in 1 Convertible,13.3,Windows 10,1499.0,256,0,1.29,8,3840x2160,Intel Core,1.6,Intel UHD
184,Dell,Inspiron 5570,Notebook,15.6,Linux,1049.0,256,2048.0,2.02,16,1920x1080,Intel Core,1.8,AMD Radeon
185,Dell,XPS 13,Ultrabook,13.3,Windows 10,1399.0,256,0,1.23,8,1920x1080,Intel Core,1.6,Intel UHD
186,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Windows 10,1849.0,512,0,1.4,16,3840x2160,Intel Core,1.8,Intel UHD
187,Toshiba,Satellite Pro,Notebook,15.6,Windows 10,793.0,128,0,2.0,8,1366x768,Intel Core,2.5,Intel HD
188,Xiaomi,Mi Notebook,Notebook,15.6,No OS,1199.0,256,0,1.95,8,1920x1080,Intel Core,1.6,Nvidia GeForce
189,Dell,Inspiron 7773,Notebook,17.3,Windows 10,1549.0,512,0,2.77,16,1920x1080,Intel Core,1.8,Nvidia GeForce
190,Dell,XPS 15,Notebook,15.6,Windows 10,2397.0,512,0,2.06,16,3840x2160,Intel Core,2.8,Nvidia GeForce
191,Lenovo,Legion Y520-15IKBN,Gaming,15.6,No OS,779.0,256,0,2.4,8,1920x1080,Intel Core,2.5,Nvidia GeForce
192,Acer,Swift 7,Ultrabook,13.3,Windows 10,989.0,256,0,1.12,8,1920x1080,Intel Core,1.2,Intel HD
193,Dell,Inspiron 5770,Notebook,17.3,Windows 10,1085.0,128,1024.0,2.8,8,1920x1080,Intel Core,1.8,AMD Radeon
194,Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,Windows 10,2824.0,1024.0,0,1.42,16,2560x1440,Intel Core,2.7,Intel HD
196,Xiaomi,Mi Notebook,Ultrabook,13.3,No OS,999.9,256,0,1.3,8,1920x1080,Intel Core,2.5,Nvidia GeForce
197,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,No OS,698.0,256,0,2.8,8,1600x900,Intel Core,1.6,Nvidia GeForce
198,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Windows 10,839.0,0,1024.0,1.62,8,1920x1080,Intel Core,1.8,Intel UHD
199,HP,ProBook 470,Notebook,17.3,Windows 10,914.0,0,1024.0,2.5,8,1920x1080,Intel Core,1.6,Nvidia GeForce
200,Razer,Blade Pro,Gaming,17.3,Windows 10,6099.0,1024.0,0,3.49,32,3840x2160,Intel Core,2.9,Nvidia GeForce
201,HP,ProBook 430,Notebook,13.3,Windows 10,959.0,512,0,1.49,8,1920x1080,Intel Core,1.6,Intel UHD
202,HP,Omen 17-W295,Gaming,17.3,Windows 10,1379.0,256,1024.0,3.35,16,1920x1080,Intel Core,2.8,Nvidia GeForce
203,HP,Probook 470,Notebook,17.3,Windows 10,1045.0,256,0,2.5,8,1920x1080,Intel Core,1.8,Nvidia GeForce
204,Dell,Inspiron 7577,Gaming,15.6,Windows 10,1845.0,512,1024.0,2.65,16,3840x2160,Intel Core,2.8,Nvidia GeForce
